difficulty,method,num_images,average_confidence,no_text_detected,detection_rate,exact_match_accuracy,mean_character_similarity
easy,bicubic,100,0.1315,54,0.46,0.02,0.2246
easy,sr_realesrgan,100,0.1988,52,0.48,0.03,0.2192
easy,sr_tsrn,100,0.4108,21,0.79,0.24,0.4897
easy,hr,100,0.5716,10,0.9,0.53,0.7222
medium,bicubic,100,0.0357,56,0.44,0.02,0.0919
medium,sr_realesrgan,100,0.0468,72,0.28,0.01,0.085
medium,sr_tsrn,100,0.15,25,0.75,0.05,0.2701
medium,hr,100,0.3556,9,0.91,0.2,0.5311
hard,bicubic,100,0.0517,79,0.21,0.03,0.0844
hard,sr_realesrgan,100,0.0738,80,0.2,0.01,0.0754
hard,sr_tsrn,100,0.1723,42,0.58,0.11,0.2233
hard,hr,100,0.2393,25,0.75,0.25,0.4341
overall,bicubic,300,0.073,189,0.37,0.0233,0.1336
overall,sr_realesrgan,300,0.1065,204,0.32,0.0167,0.1265
overall,sr_tsrn,300,0.2444,88,0.7067,0.1333,0.3277
overall,hr,300,0.3888,44,0.8533,0.3267,0.5625
